branch_lengths	model	axis	rate	loglik	shape	argmax	at_boundary
calibrated	ARD	loss	1.77828e-06	-0.056427	monotone decreasing	1e-06	1
calibrated	ARD	loss	3.16228e-06	-0.100341	monotone decreasing	1e-06	1
calibrated	ARD	loss	5.62341e-06	-0.178425	monotone decreasing	1e-06	1
calibrated	ARD	loss	1e-05	-0.317261	monotone decreasing	1e-06	1
calibrated	ARD	loss	1.77828e-05	-0.564091	monotone decreasing	1e-06	1
calibrated	ARD	loss	3.16228e-05	-1.00284	monotone decreasing	1e-06	1
calibrated	ARD	loss	5.62341e-05	-1.78247	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.0001	-3.16712	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.000177828	-5.62418	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.000316228	-9.9786	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.000562341	-17.6814	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.001	-31.2734	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.00177828	-55.1701	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.00316228	-96.9027	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.00562341	-168.735	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.01	-288.577	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.0177828	-471.996	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.0316228	-713.979	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.0562341	-1027.49	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.1	-1355.59	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.177828	-1601.33	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.316228	-1779.72	monotone decreasing	1e-06	1
calibrated	ARD	loss	0.562341	-1957.17	monotone decreasing	1e-06	1
calibrated	ARD	loss	1	-2134.81	monotone decreasing	1e-06	1
calibrated	ARD	loss	1.77828	-2312.54	monotone decreasing	1e-06	1
calibrated	ARD	loss	3.16228	-2490.34	monotone decreasing	1e-06	1
calibrated	ARD	loss	5.62341	-2668.18	monotone decreasing	1e-06	1
calibrated	ARD	loss	10	-2846.03	monotone decreasing	1e-06	1
calibrated	ARD	loss	17.7828	-3023.89	monotone decreasing	1e-06	1
calibrated	ARD	loss	31.6228	-3201.75	monotone decreasing	1e-06	1
calibrated	ARD	loss	56.2341	-3379.62	monotone decreasing	1e-06	1
calibrated	ARD	loss	100	-3557.5	monotone decreasing	1e-06	1
calibrated	ARD	gain	1e-06	-39.8201	monotone increasing	100	1
calibrated	ARD	gain	1.77828e-06	-39.2434	monotone increasing	100	1
calibrated	ARD	gain	3.16228e-06	-38.6657	monotone increasing	100	1
calibrated	ARD	gain	5.62341e-06	-38.0864	monotone increasing	100	1
calibrated	ARD	gain	1e-05	-37.5043	monotone increasing	100	1
calibrated	ARD	gain	1.77828e-05	-36.9171	monotone increasing	100	1
calibrated	ARD	gain	3.16228e-05	-36.3208	monotone increasing	100	1
calibrated	ARD	gain	5.62341e-05	-35.7081	monotone increasing	100	1
calibrated	ARD	gain	0.0001	-35.0656	monotone increasing	100	1
calibrated	ARD	gain	0.000177828	-34.3685	monotone increasing	100	1
calibrated	ARD	gain	0.000316228	-33.5706	monotone increasing	100	1
calibrated	ARD	gain	0.000562341	-32.5873	monotone increasing	100	1
calibrated	ARD	gain	0.001	-31.2734	monotone increasing	100	1
calibrated	ARD	gain	0.00177828	-29.4098	monotone increasing	100	1
calibrated	ARD	gain	0.00316228	-26.7247	monotone increasing	100	1
calibrated	ARD	gain	0.00562341	-22.9771	monotone increasing	100	1
calibrated	ARD	gain	0.01	-18.228	monotone increasing	100	1
calibrated	ARD	gain	0.0177828	-13.2429	monotone increasing	100	1
calibrated	ARD	gain	0.0316228	-8.81186	monotone increasing	100	1
calibrated	ARD	gain	0.0562341	-5.35689	monotone increasing	100	1
