symbol	ensembl_gene	status
AGTPBP1	ENSG00000135049	background
AGTR1	ENSG00000144891	background
AGTR2	ENSG00000180772	background
AGTRAP	ENSG00000177674	wanted
AGXT	ENSG00000172482	background
AGXT2	ENSG00000113492	background
AHCTF1	ENSG00000153207	wanted
AHCTF1P1	ENSG00000226121	background
AHCY	ENSG00000101444	background
AHCYL1	ENSG00000168710	background
AHCYL2	ENSG00000158467	background
AHCYP2	ENSG00000238181	background
AHCYP3	ENSG00000233955	background
AHCYP4	ENSG00000232992	background
AHCYP5	ENSG00000213107	background
AHCYP7	ENSG00000259465	background
AHCYP8	ENSG00000242529	background
AHDC1	ENSG00000126705	background
AHI1	ENSG00000135541	background
AHI1-DT	ENSG00000231028	background
AHNAK	ENSG00000124942	background
AHNAK2	ENSG00000185567	background
AHR	ENSG00000106546	background
AHRR	ENSG00000063438	wanted
AHSA1	ENSG00000100591	background
AHSA2P	ENSG00000293434	background
AHSG	ENSG00000145192	background
AHSP	ENSG00000169877	background
AICDA	ENSG00000111732	wanted
AIDA	ENSG00000186063	background
AIDAP1	ENSG00000230154	background
AIDAP2	ENSG00000251429	background
AIDAP3	ENSG00000264189	background
AIF1	ENSG00000204472	background
AIF1L	ENSG00000126878	wanted
AIFM1	ENSG00000156709	background
AIFM1P1	ENSG00000225509	background
AIFM2	ENSG00000042286	background
AIFM3	ENSG00000183773	background
AIG1	ENSG00000146416	background
AIG1P1	ENSG00000249089	background
AIM2	ENSG00000163568	background
AIMP1	ENSG00000164022	wanted
AIMP1P1	ENSG00000234187	background
AIMP1P2	ENSG00000227177	background
AIMP2	ENSG00000106305	background
AIP	ENSG00000110711	background
AIPL1	ENSG00000129221	wanted
AIRE	ENSG00000160224	background
AIRIM	ENSG00000116922	background
AIRN	ENSG00000268257	background
AJAP1	ENSG00000196581	wanted
AJM1	ENSG00000232434	background
AJUBA	ENSG00000129474	background
AJUBA-DT	ENSG00000258457	background
AK1	ENSG00000106992	background
AK2	ENSG00000004455	background
AK2-AS1	ENSG00000236065	background
AK2P2	ENSG00000242272	background
AK3	ENSG00000147853	background
AK3P2	ENSG00000250115	background
AK3P3	ENSG00000230042	background
AK3P4	ENSG00000248722	background
AK3P5	ENSG00000228816	background
AK3P6	ENSG00000255838	background
AK3P7	ENSG00000270941	background
AK4	ENSG00000162433	background
AK4P1	ENSG00000263535	background
AK4P2	ENSG00000249410	background
AK4P3	ENSG00000233381	background
AK4P4	ENSG00000223621	background
AK4P5	ENSG00000217377	background
AK4P6	ENSG00000235606	background
AK5	ENSG00000154027	background
AK5-AS1	ENSG00000233099	background
AK6	ENSG00000085231	background
AK6P1	ENSG00000256614	background
AK6P2	ENSG00000257173	background
AK7	ENSG00000140057	background
